Sentiment,News Headline
neutral,The value of the orders is over EUR 25mn .
neutral,The value of this kind of order amounts usually between Euro 2 and 3 million .
neutral,The technology park will be built near St. Petersburg-based Pulkovo airport .
positive,"ADP News - Nov 6 , 2008 - Finnish retail software developer Aldata Solution Oyj OMX : ALD1V said today that it swung to a net profit of EUR 2.1 million USD 2.7 m for the first nine months of 2008 versus a net loss of EU"
neutral,Tielinja generated net sales of 7.5 mln euro $ 9.6 mln in 2005 .
neutral,Vacon will supply drives to Ruselprom in the power range from 200 kW up to 2 MW .
neutral,"To choose BasWare as the tools for our Financial Service seemed like a natural continuation of our cooperation '' , says Tommi Leskinen , Financial Applications Manager , Neste Oil Corporation ."
positive,"To our members and partners , the use of IT will mostly be apparent in the increased efficiency of the results service , '' observes Perttu Puro from Tradeka ."
positive,Operating profit improved by 27 % to EUR 579.8 mn from EUR 457.2 mn in 2006 .
neutral,Nokian Tyres ' tyres are considered genuine winter tyres in Russia .
neutral,Shares will be acquired in accordance with section 5 of the rules of NASDAQ OMX Helsinki and other rules applicable to the acquisition of own shares .
neutral,The expanded plant is scheduled to be operational by the middle of October 2009 .
positive,"Furthermore , efficiency improvement measures initiated earlier are now bearing fruit , '' CEO Jan Lang said ."
positive,"Finnish silicon wafer technology company Okmetic Oyj OMX Helsinki : OKM1V reported on Thursday 30 October an operating profit of EUR7 .4 m for January-September 2008 , up from EUR6 .1 m in the corresponding period in 2007 ."
neutral,"After the transaction , Tikkurila has no powder coatings related operations ."
negative,A high court in Finland has fined seven local asphalt companies more than   lion ( $ 117 million ) for operating a cartel .
neutral,Finnish beverage company Olvi is one of the last listed companies in Finland that has not yet published its financial result for the second quarter of 2009 .
neutral,"The contract also includes cutting and edging wagon parts at Ruukki 's steel service centres in Seinajoki and Raahe , both in southwestern Finland , from where they will be delivered to VR for welding and assembly ."
neutral,The previous offer was 3.4 % of voting rights and 12.3 % of capital .
positive,"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 ."
positive,The company intends to raise production capacity in 2006 .
positive,"The antibody , given at repeated doses of up to 8 mg-kg , was generally well tolerated , and the pharmacokinetic characteristics of BTT-1023 in psoriasis patients were consistent with those observed in a previously completed study in rheumatoid arthritis RA patients ."
neutral,"Kemira will supply the additional volumes of iron coagulants from the company 's plant at Helsingborg , Sweden ."
